# OGLE EWS map.dat file for OGLE-2024-BLG-0521
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
 57251  977.96 1529.10 15.614  1.915 13.699  85   0 0.008 3236   1 0.007
 57255  993.76 1574.10 16.737  2.918 13.819  85   0 0.015 3236   1 0.008
 57256 1054.41 1582.99 14.137  1.605 12.532  84   1 0.005 3227  10 0.010
 57264  970.68 1680.46 14.614  0.638 13.976  85   0 0.004 3234   3 0.005
 57265 1016.04 1682.57 15.204  9.999 99.999  85   0 0.026    0   0 9.999
 57317 1062.28 1543.61 17.769  2.831 14.938  85   0 0.013 3234   3 0.007
 57322 1048.80 1590.85 16.982  2.499 14.483  85   0 0.016 3229   8 0.008
 57326  991.03 1636.95 17.202  2.226 14.976  85   0 0.010 3229   8 0.006
 57330 1089.67 1677.80 17.337  2.540 14.797  85   0 0.011 3233   4 0.007
 57483 1092.83 1527.04 17.751  1.944 15.806  84   1 0.014 3230   7 0.010
 57484 1004.10 1530.31 17.338  1.918 15.420  85   0 0.009 3229   8 0.007
 57492  983.38 1550.67 17.461  1.956 15.505  85   0 0.010 3230   7 0.006
 57494  956.06 1561.49 17.631  1.998 15.633  84   1 0.012 3230   7 0.007
 57495 1096.19 1560.99 17.966  2.181 15.785  85   0 0.017 3234   3 0.010
 57501 1062.18 1576.69 17.254  1.862 15.391  85   0 0.016 3229   8 0.014
 57504 1089.72 1585.75 17.780  2.152 15.628  84   1 0.014 3234   3 0.010
 57506 1085.17 1589.71 17.665  2.085 15.580  85   0 0.013 3234   3 0.013
 57507  963.04 1595.09 18.024  2.198 15.826  85   0 0.013 3229   8 0.008
 57508 1072.72 1603.21 16.443  1.064 15.379  85   0 0.007 3232   5 0.009
 57511 1069.70 1607.11 17.682  1.903 15.779  85   0 0.021 3229   8 0.015
 57513  966.56 1617.17 17.523  2.072 15.451  85   0 0.014 3235   2 0.008
 57516 1079.20 1624.79 18.109  2.185 15.924  85   0 0.018 3232   5 0.010
 57519 1005.84 1629.30 17.647  2.527 15.120  85   0 0.015 3232   5 0.007
 57521 1024.25 1635.45 17.273  2.098 15.174  85   0 0.010 3231   6 0.006
 57525 1044.24 1641.86 17.504  2.011 15.493  85   0 0.012 3236   1 0.008
 57528 1024.49 1645.51 17.753  2.065 15.689  85   0 0.014 3234   3 0.008
 57531 1008.43 1658.44 17.473  1.767 15.707  85   0 0.011 3230   7 0.008
 57536  977.23 1673.70 18.189  2.339 15.851  84   1 0.030 3229   8 0.011
 57550 1008.45 1625.92 18.166  2.063 16.103  85   0 0.022 3235   2 0.013
 57697 1095.95 1530.38 18.087  1.438 16.650  85   0 0.020 3235   2 0.020
 57698 1042.25 1532.15 18.001  1.500 16.501  85   0 0.016 3223  12 0.013
 57699  997.74 1533.74 18.229  1.949 16.280  85   0 0.020 3230   7 0.011
 57701  991.50 1542.38 17.231  1.279 15.952  85   0 0.008 3232   5 0.009
 57710 1090.69 1576.21 18.102  1.929 16.173  85   0 0.017 3233   4 0.011
 57721 1016.41 1626.49 17.313  1.317 15.996  85   0 0.010 3230   7 0.009
 57724 1040.18 1636.04 18.697  2.010 16.687  84   1 0.025 3231   6 0.016
 57726 1005.63 1639.33 18.138  2.226 15.912  85   0 0.018 3233   4 0.009
 57731 1013.39 1650.98 18.657  2.096 16.561  84   1 0.026 3232   5 0.013
 57734  948.93 1658.56 17.956  1.417 16.539  85   0 0.013 3228   9 0.014
 57736 1003.71 1671.72 17.889  1.995 15.894  85   0 0.016 3228   9 0.011
 57738 1081.01 1672.28 18.376  1.988 16.388  85   0 0.029 3228   8 0.015
 58055 1084.18 1527.69 18.649  1.660 16.989  85   0 0.023 3230   5 0.023
 58059  951.62 1529.86 18.710  1.496 17.214  84   1 0.026 3226   8 0.022
 58064  986.89 1536.62 19.064  1.614 17.451  84   0 0.046 3228   7 0.032
 58065 1038.68 1536.37 19.121  1.953 17.168  83   1 0.042 3222  10 0.022
 58066 1005.60 1537.21 19.357  2.184 17.173  84   0 0.047 3229   5 0.021
 58067  974.84 1540.38 18.771  1.894 16.877  84   0 0.028 3230   5 0.019
 58068  948.34 1541.18 18.556  1.609 16.947  85   0 0.021 3228   6 0.016
 58080  990.40 1561.79 19.288  1.768 17.520  84   0 0.043 3225   5 0.030
