# OGLE EWS map.dat file for OGLE-2024-BLG-0321
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
  5068  139.40 2041.34 14.087  1.675 12.412   3   0 0.012   17   0 0.037
  5089  430.91 2124.80 14.490  0.663 13.826   3   0 0.007   19   0 0.007
  5127  116.19 2030.67 16.036  1.217 14.819   3   0 0.003   16   1 0.008
  5128  357.98 2053.52 16.144  1.468 14.676   3   0 0.004   18   1 0.007
  5130  266.89 2073.66 15.087  0.677 14.410   3   0 0.004   18   1 0.007
  5131  297.86 2123.46 15.519  1.010 14.508   3   0 0.004   18   1 0.007
  5132  233.65 2186.80 14.555  0.479 14.076   3   0 0.004   18   1 0.006
  5134  349.26 2231.44 15.580  0.896 14.684   3   0 0.004   18   1 0.013
  5135  504.42 2234.04 15.028  0.877 14.151   3   0 0.002   18   1 0.006
  5205  271.05 2022.44 16.517  1.015 15.502   3   0 0.002   18   1 0.007
  5207  158.31 2038.56 16.770  1.194 15.575   3   0 0.005   16   1 0.012
  5208  229.85 2057.23 16.438  1.002 15.436   3   0 0.003   18   1 0.009
  5211  426.65 2095.45 16.154  0.722 15.433   3   0 0.009   18   1 0.011
  5216  274.20 2193.61 16.273  0.541 15.733   3   0 0.002   18   1 0.009
  5218  311.72 2211.21 16.207  1.015 15.192   3   0 0.003   18   1 0.010
  5322  513.82 2016.80 16.943  1.000 15.943   3   0 0.005   18   1 0.012
  5325  355.72 2046.11 17.290  0.679 16.611   3   0 0.009   19   0 0.031
  5326  335.66 2054.82 17.341  1.004 16.336   3   0 0.011   18   1 0.012
  5328  424.06 2060.73 17.326  1.041 16.285   3   0 0.024   19   0 0.022
  5331  498.26 2071.87 17.334  0.790 16.543   3   0 0.001   18   1 0.020
  5332  175.06 2080.51 17.011  0.982 16.030   3   0 0.001   18   1 0.009
  5338   91.71 2120.85 17.045  0.737 16.308   3   0 0.006   15   1 0.019
  5339  140.14 2123.39 17.313  1.000 16.313   3   0 0.005   16   1 0.011
  5340  447.62 2126.97 16.970  1.091 15.879   3   0 0.007   18   1 0.014
  5341  306.66 2133.58 17.525  0.948 16.577   3   0 0.013   18   1 0.017
  5344  380.08 2171.58 16.876  0.676 16.200   3   0 0.003   18   1 0.010
  5345  500.49 2183.48 17.268  0.996 16.271   3   0 0.006   18   1 0.013
  5346  135.04 2191.24 17.365  0.968 16.397   3   0 0.004   16   1 0.015
  5347  118.43 2226.35 17.447  1.075 16.371   3   0 0.007   16   1 0.012
  5349  528.41 2241.51 16.983  0.819 16.164   3   0 0.004   18   1 0.016
  5350  207.22 2241.64 17.450  0.995 16.455   3   0 0.004   18   1 0.014
  5574  485.19 2024.70 18.406  1.011 17.396   3   0 0.003   19   0 0.036
  5575  426.16 2026.87 17.537  0.716 16.821   3   0 0.029   19   0 0.032
  5579  476.07 2042.90 17.828  0.707 17.121   3   0 0.012   17   2 0.020
  5581  200.72 2047.39 18.661  1.367 17.295   3   0 0.021   18   1 0.022
  5582  235.93 2048.24 18.627  1.338 17.289   3   0 0.020   18   1 0.020
  5584  196.12 2054.77 17.972  1.064 16.909   3   0 0.011   18   1 0.020
  5585  528.39 2055.95 17.471  0.787 16.684   3   0 0.013   19   0 0.022
  5586  523.54 2062.74 17.342  0.638 16.704   3   0 0.004   18   1 0.017
  5587  533.61 2081.38 17.599  0.779 16.820   3   0 0.005   18   1 0.019
  5588  150.33 2086.72 17.649  0.653 16.996   3   0 0.134   15   2 0.042
  5589  515.07 2099.06 17.743  0.673 17.070   3   0 0.007   18   1 0.019
  5590  238.18 2102.90 18.213  0.683 17.530   3   0 0.012   18   1 0.024
  5592  325.06 2103.83 18.205  0.778 17.427   3   0 0.018   19   0 0.036
  5594  369.39 2107.14 17.444  0.726 16.717   3   0 0.003   18   1 0.015
  5596  426.07 2120.98 18.105  0.906 17.199   3   0 0.024   19   0 0.038
  5597  270.91 2122.33 18.323  0.927 17.396   3   0 0.021   18   1 0.023
  5599  187.62 2128.47 17.968  0.876 17.093   3   0 0.012   18   1 0.025
  5600  431.41 2137.53 18.017  0.983 17.035   3   0 0.018   19   0 0.038
  5601  452.54 2142.17 17.667  0.703 16.964   3   0 0.004   18   1 0.012
  5603  492.63 2154.57 18.478  0.948 17.530   3   0 0.010   18   1 0.027
  5604  317.69 2154.73 18.322  0.828 17.494   3   0 0.014   18   1 0.022
  5607  219.11 2163.40 18.109  0.985 17.124   3   0 0.004   18   1 0.022
  5609  323.10 2165.50 18.311  0.971 17.340   3   0 0.029   18   1 0.025
  5611  174.15 2169.22 18.034  0.715 17.319   3   0 0.005   18   1 0.026
  5617   97.89 2203.48 18.123  0.766 17.357   3   0 0.007   16   1 0.023
  5618  264.65 2213.02 18.121  0.837 17.284   3   0 0.016   19   0 0.036
  5619  442.14 2227.24 18.227  0.881 17.347   3   0 0.022   18   1 0.020
  5620  366.93 2227.38 18.340  0.911 17.429   3   0 0.030   18   1 0.032
  5621  507.04 2231.61 17.197  0.573 16.623   3   0 0.053   19   0 0.086
  5652   87.82 2157.33 20.097  1.398 18.699   3   0 0.072   16   0 0.192
  6200  434.93 2016.98 19.357  0.883 18.475   3   0 0.034   19   0 0.066
  6206  455.70 2023.00 18.665  0.761 17.904   3   0 0.009   19   0 0.046
  6208  337.58 2026.17 19.138  0.724 18.414   3   0 0.011   19   0 0.044
  6209  516.81 2028.42 18.812  0.976 17.836   3   0 0.012   18   1 0.023
  6211  268.78 2029.23 20.539  1.134 19.405   3   0 0.053   18   1 0.113
  6212  127.95 2033.19 19.308  1.235 18.073   3   0 0.045   17   0 0.090
  6213  135.55 2031.14 20.772  2.127 18.645   3   0 0.098   15   1 0.115
  6215  142.80 2035.06 99.999  9.999 18.020   0   0 9.999   17   0 0.155
  6217  539.68 2034.72 19.105  0.832 18.273   3   0 0.007   18   1 0.036
  6218  336.90 2035.01 20.006  0.846 19.160   3   0 0.012   18   1 0.057
  6221  498.23 2042.11 18.732  0.870 17.861   3   0 0.005   18   1 0.030
  6223  145.77 2043.62 99.999  9.999 17.455   0   0 9.999   17   0 0.120
  6225  508.42 2046.18 18.416  0.759 17.657   3   0 0.017   18   1 0.023
  6227  256.43 2047.09 18.389  0.745 17.645   3   0 0.020   18   1 0.040
  6230  326.10 2050.81 18.799  0.742 18.057   3   0 0.010   19   0 0.034
  6232  289.73 2054.62 18.407  0.754 17.653   3   0 0.016   19   0 0.030
  6237  247.79 2059.52 18.918  0.801 18.117   3   0 0.034   18   1 0.037
  6241  234.22 2065.10 18.435  0.784 17.651   3   0 0.031   18   1 0.027
  6242  222.87 2066.18 18.570  0.860 17.710   3   0 0.009   19   0 0.038
  6245  175.28 2070.07 19.480  1.075 18.405   3   0 0.024   19   0 0.052
  6246  487.62 2073.44 18.836  0.804 18.032   3   0 0.017   19   0 0.030
  6247  470.98 2073.72 18.942  0.782 18.160   3   0 0.014   17   2 0.024
  6252  512.37 2081.43 18.448  0.508 17.941   3   0 0.023   19   0 0.028
  6254  233.38 2083.14 18.910  0.699 18.211   3   0 0.010   18   1 0.025
  6256  172.00 2086.11 18.663  0.734 17.930   3   0 0.016   19   0 0.041
  6258  264.46 2088.75 19.199  1.458 17.741   3   0 0.053   19   0 0.043
  6260  518.71 2091.50 18.992  0.826 18.166   3   0 0.020   19   0 0.038
  6263  289.61 2098.75 18.710  0.665 18.045   3   0 0.013   19   0 0.039
  6266  116.10 2104.32 18.747  0.743 18.004   3   0 0.009   16   1 0.029
  6272  531.19 2111.57 19.533  1.179 18.354   3   0 0.030   19   0 0.042
  6275  257.66 2113.36 18.736  0.817 17.919   3   0 0.028   19   0 0.060
  6276  495.89 2112.77 18.964  0.771 18.193   3   0 0.012   18   1 0.033
  6278  102.16 2115.15 18.540  0.821 17.719   3   0 0.006   16   1 0.021
  6287  519.16 2130.89 19.280  0.985 18.294   3   0 0.020   18   1 0.027
