# OGLE EWS map.dat file for OGLE-2024-BLG-0321
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
  6288  320.78 2132.01 18.662  0.764 17.898   3   0 0.012   19   0 0.039
  6290  291.24 2134.37 18.914  0.988 17.926   3   0 0.006   19   0 0.035
  6291  473.09 2132.51 19.076  0.392 18.684   3   0 0.012   18   1 0.041
  6294  176.46 2135.17 99.999  9.999 18.405   0   0 9.999   18   1 0.040
  6299  309.25 2141.44 19.788  2.177 17.611   3   0 0.040   18   1 0.023
  6300  391.91 2141.04 19.100  0.794 18.305   3   0 0.012   18   1 0.037
  6301  145.16 2142.10 18.913  0.725 18.188   3   0 0.009   17   0 0.037
  6302   88.47 2144.11 19.179  1.347 17.831   3   0 0.022   16   0 0.074
  6303  122.47 2143.30 18.890  0.754 18.136   3   0 0.008   16   1 0.024
  6305  316.28 2146.75 19.231  1.067 18.164   3   0 0.031   19   0 0.043
  6310  159.87 2152.51 20.070  2.369 17.701   3   0 0.023   16   1 0.028
  6311  532.37 2152.34 18.663  0.796 17.866   3   0 0.007   19   0 0.033
  6315  183.82 2167.67 18.882  1.098 17.784   3   0 0.009   18   1 0.027
  6316  102.66 2169.94 19.290  0.867 18.423   3   0 0.031   17   0 0.053
  6328  115.34 2191.40 19.042  0.742 18.300   3   0 0.014   16   1 0.030
  6329  161.52 2194.68 18.536  0.877 17.659   3   0 0.012   16   1 0.033
  6330  537.08 2190.48 19.677  0.953 18.724   3   0 0.051   19   0 0.058
  6333  434.96 2197.41 99.999  9.999 17.762   0   0 9.999   19   0 0.061
  6337  242.57 2201.37 18.820  1.097 17.723   3   0 0.015   19   0 0.035
  6340  328.82 2207.47 18.852  1.237 17.615   3   0 0.014   18   1 0.028
  6341  344.35 2207.74 18.938  0.836 18.102   3   0 0.009   19   0 0.054
  6343  510.47 2208.98 19.145  0.920 18.225   3   0 0.006   19   0 0.055
  6344  498.10 2209.29 19.067  0.732 18.335   3   0 0.011   19   0 0.039
  6345  345.01 2216.66 19.226  0.969 18.257   3   0 0.022   19   0 0.044
  6347  374.33 2218.02 18.868  0.727 18.141   3   0 0.014   19   0 0.042
  6348  471.77 2218.83 18.737  0.793 17.944   3   0 0.006   18   1 0.032
  6349  506.92 2219.14 19.332  0.824 18.508   3   0 0.009   18   1 0.038
  6352  460.43 2225.64 18.844  0.734 18.110   3   0 0.004   19   0 0.052
  6359  256.30 2237.12 20.119  1.849 18.270   3   0 0.062   19   0 0.048
  6361  202.31 2239.14 18.949  0.748 18.200   3   0 0.007   18   1 0.047
  6362  498.53 2068.56 18.699  0.704 17.996   3   0 0.047   19   0 0.046
  6460  250.96 2057.51 19.714  0.866 18.849   3   0 0.054   19   0 0.070
  6461  219.51 2069.66 19.264  0.853 18.411   3   0 0.015   19   0 0.056
  6462  169.50 2069.59 21.272  1.977 19.295   3   0 0.163   17   0 0.080
  6463  471.25 2078.60 20.917  2.563 18.355   3   0 0.084   18   1 0.040
  6466  229.46 2078.94 20.127  0.914 19.213   3   0 0.026   19   0 0.084
  6475  387.17 2139.36 19.461  0.725 18.737   3   0 0.026   18   1 0.048
  6480  158.19 2193.24 19.283  1.233 18.050   3   0 0.046   16   1 0.035
  6481  533.96 2190.21 19.920  0.746 19.173   3   0 0.069   19   0 0.071
  6482  435.17 2201.25 99.999  9.999 18.899   0   0 9.999   19   0 0.129
  6483  247.03 2204.47 19.367  0.731 18.636   3   0 0.087   19   0 0.126
  6484  341.20 2206.21 20.093  1.062 19.031   3   0 0.029   19   0 0.059
  6485  508.56 2212.69 19.272  0.712 18.560   3   0 0.024   18   1 0.042
  6487  464.70 2225.90 19.625  0.895 18.730   3   0 0.020   19   0 0.065
  7665  522.57 2015.64 19.500  0.818 18.682   3   0 0.027   19   0 0.053
  7667  210.11 2015.02 20.145  0.823 19.322   3   0 0.050   19   0 0.092
  7668  217.45 2016.13 19.869  0.765 19.104   3   0 0.030   19   0 0.050
  7669  283.85 2016.73 19.780  0.794 18.987   3   0 0.021   19   0 0.088
  7670  361.40 2016.09 20.125  0.941 19.183   3   0 0.011   19   0 0.064
  7671  174.77 2015.95 20.585  1.271 19.313   3   0 0.071   19   0 0.077
  7672  528.21 2017.63 20.448  1.595 18.853   3   0 0.039   19   0 0.072
  7673  246.07 2019.91 20.863  1.567 19.296   3   0 0.048   19   0 0.086
  7674  376.66 2020.59 19.968  0.829 19.139   3   0 0.011   19   0 0.059
  7678   95.26 2022.51 19.614  0.776 18.838   3   0 0.015   16   1 0.049
  7679  136.28 2022.74 21.069  1.946 19.123   3   0 0.071   17   0 0.112
  7680  358.43 2023.22 19.780  0.817 18.963   3   0 0.040   19   0 0.052
  7684  329.35 2028.35 19.478  0.729 18.749   3   0 0.004   19   0 0.065
  7687  461.29 2029.48 20.013  0.734 19.278   3   0 0.021   18   1 0.052
  7689  141.95 2029.66 21.064  1.743 19.321   3   0 0.089   13   1 0.143
  7691  340.03 2032.23 19.749  0.391 19.358   3   0 0.020   19   0 0.108
  7694  214.07 2034.43 19.887  0.798 19.088   3   0 0.032   19   0 0.080
  7695  298.25 2035.12 19.495  0.698 18.797   3   0 0.027   19   0 0.069
  7697  243.33 2036.50 20.213  0.925 19.288   3   0 0.044   18   1 0.072
  7700  149.55 2037.94 99.999  9.999 19.096   0   0 9.999   17   0 0.289
  7701  325.47 2038.35 19.681  0.780 18.901   3   0 0.018   19   0 0.064
  7707  345.73 2042.24 19.897  0.896 19.001   3   0 0.013   18   1 0.075
  7708  536.61 2042.60 19.559  0.833 18.726   3   0 0.025   18   1 0.034
  7710   90.90 2045.58 19.358  0.781 18.577   3   0 0.023   16   0 0.093
  7711  151.08 2045.07 99.999  9.999 18.748   0   0 9.999   17   0 0.308
  7712  541.78 2043.55 20.262  1.051 19.211   3   0 0.037   19   0 0.052
  7714  363.08 2048.08 19.344  0.693 18.651   3   0 0.025   19   0 0.074
  7716  130.63 2047.43 99.999  9.999 18.646   0   0 9.999   17   0 0.162
  7718  107.87 2049.86 19.621  0.872 18.749   3   0 0.045   17   0 0.054
  7719  379.88 2047.33 20.196  0.805 19.391   3   0 0.011   19   0 0.099
  7720  416.94 2051.43 19.915  0.939 18.976   3   0 0.042   19   0 0.067
  7721  449.43 2052.47 20.265  1.139 19.126   3   0 0.018   19   0 0.075
  7723  177.99 2051.83 20.803  1.314 19.489   3   0 0.121   18   0 0.113
  7726  139.25 2057.30 20.850  1.328 19.522   3   0 0.180   14   1 0.182
  7728  149.79 2056.01 20.403  1.270 19.133   3   0 0.024   17   0 0.158
  7729  300.34 2054.94 20.042  0.889 19.153   3   0 0.020   19   0 0.065
  7730  406.84 2055.82 19.535  0.728 18.807   3   0 0.050   19   0 0.077
  7732  203.58 2056.87 19.679  0.842 18.837   3   0 0.059   19   0 0.070
  7735  497.21 2060.13 99.999  9.999 19.213   0   0 9.999   19   0 0.063
  7739  292.59 2065.63 20.061  1.232 18.830   3   0 0.052   19   0 0.065
  7741  189.90 2066.71 19.432  0.734 18.698   3   0 0.035   17   2 0.030
  7742  125.46 2067.38 20.415  1.617 18.798   3   0 0.078   15   2 0.041
  7743  319.36 2065.96 19.967  0.777 19.190   3   0 0.027   18   1 0.060
  7748  327.30 2069.47 19.852  0.848 19.004   3   0 0.014   19   0 0.049
  7749  344.97 2069.26 21.021  2.084 18.937   3   0 0.099   17   2 0.034
  7750  335.64 2069.84 19.924  0.781 19.143   3   0 0.016   18   1 0.043
  7756  272.65 2074.86 99.999  9.999 19.106   0   0 9.999   19   0 0.098
  7758  197.11 2080.64 19.831  0.725 19.106   3   0 0.042   18   1 0.070
  7759  399.69 2078.55 20.321  1.458 18.863   3   0 0.031   19   0 0.054
  7762  361.77 2082.40 21.288  2.177 19.111   3   0 0.170   19   0 0.062
  7765  529.99 2084.83 19.419  0.787 18.632   3   0 0.022   19   0 0.077
  7767  353.33 2086.44 19.469  0.803 18.666   3   0 0.008   18   1 0.041
  7768  476.62 2084.95 21.201  1.735 19.466   3   0 0.094   19   0 0.056
  7773  110.07 2096.77 19.414  0.546 18.867   3   0 0.021   17   0 0.083
  7776  434.04 2100.06 19.291  0.855 18.436   3   0 0.098   19   0 0.075
  7778  167.21 2100.23 19.373  0.694 18.679   3   0 0.030   16   1 0.033
  7779  268.50 2100.43 19.796  0.831 18.966   3   0 0.051   19   0 0.089
  7780  298.56 2099.83 20.106  0.698 19.408   3   0 0.052   19   0 0.074
  7782  155.93 2100.46 20.121  0.824 19.297   3   0 0.043   17   0 0.073
  7785  355.55 2103.51 19.831  0.768 19.062   3   0 0.011   18   1 0.051
  7787  103.22 2103.86 20.202  0.648 19.554   3   0 0.044   17   0 0.111
  7790  416.75 2107.35 19.876  1.033 18.844   3   0 0.060   19   0 0.057
  7791  219.95 2109.27 19.203  0.651 18.552   3   0 0.004   18   1 0.037
  7792  285.31 2108.73 19.910  0.851 19.059   3   0 0.028   18   1 0.058
  7794  246.64 2109.70 19.951  1.309 18.642   3   0 0.027   19   0 0.050
  7798  379.19 2112.74 20.118  1.059 19.059   3   0 0.045   19   0 0.049
  7799  419.14 2114.34 19.557  0.937 18.620   3   0 0.012   19   0 0.053
  7800  452.53 2114.76 19.825  0.753 19.071   3   0 0.021   19   0 0.083
  7804  231.89 2116.26 20.271  0.915 19.356   3   0 0.080   19   0 0.076
  7805  526.44 2118.14 19.718  0.956 18.763   3   0 0.031   19   0 0.072
  7811  239.46 2121.39 19.917  0.672 19.244   3   0 0.021   19   0 0.060
  7813  133.55 2123.89 19.864  0.809 19.055   3   0 0.056   17   0 0.085
  7814  415.48 2122.29 20.634  1.390 19.245   3   0 0.160   18   0 0.081
  7815  512.80 2122.55 20.047  0.835 19.212   3   0 0.057   18   1 0.039
  7819  143.21 2127.53 19.157  0.481 18.675   3   0 0.032   16   1 0.069
  7821  170.72 2131.21 19.840  0.961 18.879   3   0 0.020   16   0 0.061
  7823  202.08 2132.06 19.900  0.763 19.137   3   0 0.054   19   0 0.058
  7824  527.62 2131.90 20.086  0.750 19.336   3   0 0.013   19   0 0.092
  7826  189.05 2135.14 19.565  0.861 18.704   3   0 0.025   19   0 0.047
  7828  544.77 2134.00 19.720  0.545 19.175   3   0 0.031   18   0 0.082
  7829  160.40 2135.18 20.187  0.893 19.294   3   0 0.074   17   0 0.062
  7830  515.73 2135.54 20.093  0.982 19.111   3   0 0.050   19   0 0.045
  7832  243.16 2139.89 20.107  0.905 19.202   3   0 0.006   18   1 0.043
  7835  109.31 2142.76 20.458  1.273 19.185   3   0 0.035   16   0 0.043
  7838  173.48 2146.09 19.169  0.765 18.404   3   0 0.030   19   0 0.052
  7840  303.15 2147.20 19.530  0.763 18.768   3   0 0.036   19   0 0.049
  7844  428.74 2145.95 19.900  0.855 19.045   3   0 0.201   19   0 0.164
  7846  489.18 2147.52 20.219  0.884 19.335   3   0 0.038   19   0 0.090
  7847  101.86 2148.58 19.998  0.767 19.232   3   0 0.021   17   0 0.078
  7848  135.33 2150.01 19.199  0.751 18.447   3   0 0.039   17   0 0.049
  7849  265.30 2148.38 19.910  0.810 19.101   3   0 0.116   19   0 0.113
  7852  247.66 2151.70 20.066  0.731 19.335   3   0 0.042   18   0 0.110
  7855  306.46 2153.24 19.999  0.771 19.229   3   0 0.036   19   0 0.057
  7860  337.99 2158.33 21.059  1.652 19.407   3   0 0.023   18   1 0.072
  7864  470.01 2164.15 19.444  0.911 18.534   3   0 0.057   19   0 0.054
  7866  168.89 2163.15 19.798  0.746 19.052   3   0 0.008   17   0 0.073
  7869  350.89 2165.15 20.539  1.077 19.461   3   0 0.059   19   0 0.096
  7874  123.62 2169.73 20.132  0.841 19.291   3   0 0.024   17   0 0.066
  7876  268.09 2172.87 19.701  0.796 18.905   3   0 0.040   19   0 0.057
  7878  296.13 2173.39 20.181  0.736 19.445   3   0 0.014   18   0 0.076
  7879  193.10 2176.29 19.831  0.866 18.964   3   0 0.023   19   0 0.063
  7880  206.64 2173.99 20.308  0.798 19.509   3   0 0.017   18   0 0.068
  7881  413.14 2176.28 19.533  0.679 18.855   3   0 0.033   19   0 0.051
  7883  228.39 2175.42 20.066  0.716 19.350   3   0 0.048   18   0 0.073
  7884  107.70 2176.47 20.256  0.903 19.353   3   0 0.023   17   0 0.100
  7885  127.46 2176.17 20.361  1.043 19.318   3   0 0.036   17   0 0.061
  7887  450.49 2177.72 20.557  1.096 19.461   3   0 0.071   19   0 0.098
  7890  477.98 2179.69 20.640  1.450 19.190   3   0 0.109   18   1 0.051
  7896  443.37 2183.44 21.002  1.719 19.283   3   0 0.141   19   0 0.113
  7900  124.36 2188.05 19.748  0.865 18.883   3   0 0.032   16   1 0.047
  7901  258.96 2188.04 20.087  1.692 18.395   3   0 0.085   19   0 0.066
  7902  293.07 2189.52 19.454  0.798 18.657   3   0 0.007   18   1 0.040
  7906  187.79 2192.11 19.691  0.740 18.951   3   0 0.018   18   1 0.059
  7907  128.68 2194.24 19.513  0.705 18.808   3   0 0.046   17   0 0.086
  7908  177.86 2193.88 19.601  0.742 18.859   3   0 0.032   19   0 0.081
  7909  479.46 2195.62 20.085  0.845 19.240   3   0 0.074   19   0 0.093
  7911  111.25 2198.36 19.628  0.805 18.824   3   0 0.049   16   1 0.039
  7915  211.00 2202.02 19.529  0.691 18.838   3   0 0.011   17   2 0.046
  7916  397.90 2202.50 19.597  0.638 18.959   3   0 0.019   18   1 0.048
  7918  237.82 2203.43 19.308  0.710 18.597   3   0 0.028   19   0 0.056
  7919  464.41 2203.99 19.350  0.778 18.572   3   0 0.043   18   1 0.053
  7921  129.89 2206.85 19.902  1.191 18.711   3   0 0.035   17   0 0.058
  7926  474.81 2211.20 19.869  0.947 18.922   3   0 0.034   18   1 0.040
  7928  525.03 2211.34 19.754  0.927 18.827   3   0 0.034   19   0 0.054
  7930  182.85 2212.75 19.284  0.608 18.676   3   0 0.012   18   1 0.058
  7932  397.16 2211.42 20.097  0.768 19.329   3   0 0.029   19   0 0.088
  7934   89.50 2214.28 19.693  1.017 18.675   3   0 0.018   16   0 0.131
  7935  303.65 2215.42 19.621  0.741 18.880   3   0 0.007   19   0 0.073
  7937  444.76 2217.91 19.344  0.741 18.602   3   0 0.025   19   0 0.039
  7940  160.89 2221.89 19.928  0.900 19.027   3   0 0.011   17   0 0.049
  7941  227.74 2222.40 19.943  0.764 19.179   3   0 0.040   19   0 0.111
  7944  166.20 2226.46 20.293  1.081 19.212   3   0 0.019   15   1 0.059
  7945  431.88 2227.75 20.697  1.497 19.200   3   0 0.323   19   0 0.179
  7947  383.85 2229.55 19.418  0.780 18.637   3   0 0.017   19   0 0.053
  7953  109.74 2234.21 19.945  0.988 18.956   3   0 0.022   16   0 0.064
  7954  510.33 2236.84 99.999  9.999 19.123   0   0 9.999   19   0 0.199
  7959  300.84 2238.37 19.470  0.782 18.688   3   0 0.014   19   0 0.058
  7960  392.62 2238.25 19.988  0.752 19.236   3   0 0.004   19   0 0.077
  7963  384.44 2240.62 19.678  0.780 18.898   3   0 0.048   19   0 0.073
  7964  176.65 2241.52 20.777  1.846 18.931   3   0 0.051   17   2 0.048
  7965  500.42 2241.61 20.893  1.456 19.437   3   0 0.332   19   0 0.146
  7968  539.80 2245.18 20.217  0.738 19.479   3   0 0.070   18   1 0.085
  7986  311.25 2148.56 19.684  0.963 18.722   3   0 0.008   19   0 0.056
  7996  165.72 2070.24 99.999  9.999 19.717   0   0 9.999   17   0 0.117
  7998  429.80 2205.63 20.984  1.725 19.259   3   0 0.521   19   0 0.165
  7999  463.21 2221.34 21.375  1.758 19.617   3   0 0.154   19   0 0.101
  8137  296.47 2031.39 21.094  1.040 20.054   3   0 0.036   18   1 0.158
  8138  451.19 2055.24 20.203  0.903 19.300   3   0 0.018   19   0 0.094
  8143  196.29 2076.44 20.132  0.759 19.374   3   0 0.059   18   0 0.103
  8145  112.69 2098.59 99.999  9.999 19.471   0   0 9.999   17   0 0.120
  8147  291.08 2109.17 99.999  9.999 20.018   0   0 9.999   18   0 0.159
  8148  241.42 2108.56 20.901  0.888 20.013   3   0 0.007   19   0 0.118
  8151  197.54 2177.66 20.513  0.795 19.717   3   0 0.031   19   0 0.132
  8152  416.87 2178.66 21.369  1.495 19.874   3   0 0.110   19   0 0.130
  8153  301.01 2211.64 20.985  0.817 20.168   3   0 0.042   19   0 0.168
  8155  108.38 2239.48 21.652  2.248 19.404   3   0 0.159   16   0 0.068
  8156  300.56 2243.87 20.349  0.940 19.409   3   0 0.049   19   0 0.095
  9931  544.35 2014.05 21.177  0.753 20.423   3   0 0.135   17   0 0.190
  9934  396.42 2018.30 99.999  9.999 20.306   0   0 9.999   19   0 0.196
  9936  413.70 2018.69 21.282  1.316 19.966   3   0 0.139   19   0 0.167
  9937  421.55 2019.51 21.043  1.269 19.774   3   0 0.023   18   0 0.178
  9941  142.01 2023.81 99.999  9.999 19.882   0   0 9.999   14   0 0.208
  9942  205.97 2020.11 21.252  1.041 20.211   3   0 0.308   19   0 0.180
  9944  216.66 2021.68 20.327  0.697 19.630   3   0 0.068   18   1 0.076
  9947  116.49 2021.66 99.999  9.999 21.331   0   0 9.999   16   0 0.540
  9948  542.10 2022.35 20.637  0.784 19.853   3   0 0.042   19   0 0.117
  9953  331.98 2024.19 21.275  0.837 20.438   3   0 0.156   18   0 0.135
  9956  131.47 2029.30 99.999  9.999 19.944   0   0 9.999   15   0 0.281
  9957  349.39 2024.38 21.143  0.891 20.253   3   0 0.090   19   0 0.185
  9958  510.53 2026.60 20.980  1.401 19.578   3   0 0.077   19   0 0.099
  9963  148.55 2031.84 99.999  9.999 19.138   0   0 9.999   17   0 0.264
  9965  154.34 2030.85 99.999  9.999 20.194   0   0 9.999   16   0 0.334
  9966  546.89 2030.59 20.877  0.898 19.979   3   0 0.056   19   0 0.098
  9969  194.29 2028.80 21.333  0.919 20.414   3   0 0.068   19   0 0.157
  9970  501.86 2029.14 21.349  0.714 20.634   3   0 0.101   19   0 0.182
  9977  127.34 2039.16 99.999  9.999 19.828   0   0 9.999   17   0 0.378
  9979  488.68 2038.79 20.883  1.341 19.542   3   0 0.111   18   0 0.088
  9984  391.94 2037.41 99.999  9.999 20.413   0   0 9.999   17   0 0.169
  9985  477.86 2038.09 21.042  1.150 19.892   3   0 0.209   18   1 0.099
  9987  434.57 2043.33 20.161  0.869 19.291   3   0 0.131   19   0 0.189
  9988  450.35 2040.93 99.999  9.999 20.652   0   0 9.999   17   0 0.244
  9989  519.89 2040.26 20.979  0.916 20.063   3   0 0.097   19   0 0.121
  9991  188.58 2045.15 20.252  0.746 19.506   3   0 0.074   19   0 0.092
  9998  249.72 2044.61 99.999  9.999 20.599   0   0 9.999   18   0 0.287
  9999  428.19 2046.25 20.932  1.105 19.827   3   0 0.387   18   0 0.289
 10001  522.25 2047.16 20.480  0.846 19.634   3   0 0.034   19   0 0.093
 10004  120.94 2049.85 20.309  0.674 19.636   3   0 0.025   16   1 0.142
 10005  152.56 2049.11 99.999  9.999 19.664   0   0 9.999   17   0 0.437
 10006  288.74 2047.95 21.273  0.900 20.374   3   0 0.101   18   0 0.221
 10013  228.03 2049.70 99.999  9.999 20.326   0   0 9.999   18   0 0.162
 10016  413.90 2051.77 19.989  0.085 19.904   3   0 0.049   19   0 0.128
 10018  144.88 2049.66 99.999  9.999 18.685   0   0 9.999   17   0 0.307
 10019  345.13 2053.82 99.999  9.999 20.621   0   0 9.999   19   0 0.222
 10020  420.74 2051.76 99.999  9.999 20.833   0   0 9.999   17   0 0.355
 10029  122.16 2055.53 21.360  1.853 19.506   3   0 0.023   16   0 0.152
 10030  155.05 2055.45 20.698  1.082 19.615   3   0 0.059   17   0 0.144
