Title: Microlensing optical depth and event rate toward the Galactic bulge 
       from eight years of OGLE-IV observations 
Authors: Mroz P., Udalski A., Skowron J., Szymanski M.K., Soszynski I.,
    Wyrzykowski L., Pietrukowicz P., Kozlowski S., Poleski R., Ulaczyk K., 
    Rybicki K., Iwanek P. 
Table: Basic information about analyzed fields
================================================================================
Byte-by-byte Description of file: apjsab426bt6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  6 A6     ---   field    OGLE-IV subfield name
   8- 15 F8.4   deg   RAdeg    Right ascension, decimal degrees (J2000)
  17- 24 F8.4   deg   DEdeg    Declination, decimal degrees (J2000)
  26- 32 F7.4   deg   GLON     Galactic longitude
  34- 41 F8.4   deg   GLAT     Galactic latitude
  43- 45 F3.1   10+6  Nstars   Number of stars, millions
  47- 51 I5     ---   Nepochs  Number of epochs
--------------------------------------------------------------------------------
BLG642 268.9792 -22.2306  6.9487   1.4394 1.9   362 
BLG643 269.0250 -23.4611  5.9062   0.7838 1.7   358 
BLG644 269.3750 -25.5389  4.2691  -0.5348 0.8    36 
BLG645 269.3750 -26.7694  3.2039  -1.1511 2.0   550 
BLG646 270.7292 -26.1542  4.3401  -1.8981 2.6   690 
BLG647 268.0167 -26.1542  3.1204   0.2092 0.5   198 
BLG648 266.6500 -26.7694  1.9634   0.9419 1.6   644 
BLG649 266.6167 -28.0000  0.8963   0.3281 0.8    37 
BLG650 266.5917 -29.2306 -0.1665  -0.2925 0.7    45 
BLG651 266.5583 -30.4611 -1.2329  -0.9073 1.1    41 
BLG652 265.2917 -26.1542  1.8508   2.3000 3.0   646 
BLG653 263.8833 -28.6153 -0.8998   2.0442 3.2   778 
BLG654 263.9000 -29.8458 -1.9286   1.3682 2.7   920 
BLG655 263.9208 -31.0764 -2.9551   0.6890 1.3    56 
BLG657 274.9583 -30.4611  2.3179  -7.2216 4.3   208 
BLG659 266.5167 -31.6917 -2.3030  -1.5164 1.0    37 
BLG660 266.4833 -32.9222 -3.3695  -2.1318 3.2   687 
BLG661 265.0208 -33.5375 -4.5361  -1.4138 2.2   531 
BLG662 262.5000 -30.4611 -3.1047   2.0479 3.1   573 
BLG663 272.0750 -24.3083  6.5466  -2.0595 1.6   230 
BLG664 270.7292 -24.9236  5.4117  -1.2924 1.4   230 
BLG665 262.5167 -25.3208  1.2091   4.8559 1.9   114 
BLG666 262.5125 -26.5514  0.1737   4.1858 1.6    89 
BLG667 263.8667 -25.9361  1.3523   3.4996 1.8   456 
BLG668 262.4875 -31.6917 -4.1383   1.3792 1.4   323 
BLG670 263.4875 -34.1528 -5.7392  -0.6699 1.3   338 
BLG672 263.2583 -36.6167 -7.9091  -1.8529 1.8   343 
BLG675 265.2417 -27.3847  0.7819   1.6875 3.3   900 
BLG676 265.2042 -28.6153 -0.2799   1.0642 2.4    69 
BLG677 265.1542 -29.8458 -1.3467   0.4490 0.6    66 
BLG680 264.7750 -37.2292 -7.7734  -3.2045 2.0   175 
BLG683 266.6625 -25.5389  3.0214   1.5708 2.4   105 
BLG705 280.4583 -30.4611  4.4295 -11.4798 1.2   167 
BLG706 281.7750 -29.8458  5.4859 -12.2582 1.0   164 
BLG707 281.8792 -31.0764  4.3744 -12.8458 1.0   160 
BLG708 283.2083 -30.4611  5.4276 -13.6408 1.0   157 
BLG709 284.5083 -29.8458  6.4709 -14.4267 0.7   160 
BLG710 284.6292 -31.0764  5.3429 -15.0054 0.7   153 
BLG711 285.9583 -30.4611  6.3893 -15.8210 0.6   156 
BLG714 265.1000 -25.3069  2.4794   2.8944 2.8   345 
BLG715 263.7500 -24.6917  2.3472   4.2575 2.4   444 
BLG717 272.1250 -23.0778  7.6458  -1.5033 1.8   156 
