# OGLE EWS map.dat file for OGLE-2024-BLG-0223
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
157845 1595.06 4244.64 20.379  3.087 17.292  61   0 0.098 2369   3 0.026
157846 1555.40 4251.49 20.204  3.147 17.057  60   2 0.069 2279   3 0.021
157847 1600.22 4288.66 20.852  3.031 17.821  46   0 0.191 1737   2 0.039
157848 1578.84 4296.13 19.912  1.950 17.962  45   0 0.076 1565   2 0.044
157849 1622.80 4288.86 19.054  1.575 17.479  47   1 0.034 1736   3 0.030
157879 1571.42 3980.93 19.586  1.834 17.751  74   1 0.058 2893   5 0.040
157885 1585.17 3989.70 99.999  9.999 17.278   0   0 9.999 2896   5 0.025
157889 1541.82 3991.51 18.594  1.272 17.322  76   0 0.022 2897   2 0.021
157892 1614.19 3993.85 21.475  4.085 17.390  72   0 0.235 2897   3 0.023
157894 1639.85 3997.71 18.921  1.444 17.477  75   1 0.030 2895   3 0.026
157896 1606.82 3999.90 18.739  1.268 17.471  76   0 0.030 2899   0 0.026
157899 1599.51 4000.95 20.729  3.151 17.578  75   0 0.193 2896   0 0.092
157905 1541.35 4016.20 21.591  3.781 17.810  75   0 0.297 2893   2 0.031
157906 1630.92 4018.27 21.516  3.714 17.802  71   0 0.231 2893   1 0.032
157908 1599.85 4022.23 18.619  1.397 17.222  76   0 0.024 2894   5 0.020
157911 1558.26 4027.24 21.399  4.020 17.379  72   0 0.233 2893   6 0.025
157912 1631.05 4027.52 21.587  3.796 17.791  75   0 0.232 2897   2 0.033
157915 1605.96 4030.81 19.586  1.816 17.769  76   0 0.228 2888   5 0.150
157917 1612.96 4032.30 99.999  9.999 17.896   0   0 9.999 2894   2 0.039
157920 1648.12 4035.34 19.041  1.461 17.579  75   0 0.042 2894   3 0.030
157927 1607.75 4046.10 21.003  3.764 17.240  76   0 0.181 2893   7 0.035
157939 1645.91 4062.66 21.101  3.762 17.339  72   0 0.194 2896   1 0.023
157946 1574.16 4075.17 21.359  4.039 17.320  72   0 0.239 2898   2 0.021
157952 1645.94 4081.80 22.037  4.492 17.545  71   0 0.371 2895   3 0.027
157981 1556.08 4117.11 21.523  3.694 17.830  70   1 0.298 2880   2 0.035
157990 1622.24 4125.22 21.927  4.247 17.680  69   0 0.403 2870   4 0.030
157995 1566.55 4131.65 21.469  4.347 17.122  70   0 0.280 2864   3 0.019
157998 1584.46 4132.25 21.725  4.456 17.269  69   0 0.309 2863   3 0.025
158009 1539.28 4142.05 21.292  4.025 17.268  70   0 0.246 2842   5 0.021
158014 1553.41 4146.34 21.906  4.278 17.628  66   0 0.340 2832   1 0.026
158050 1579.71 4183.04 19.265  1.719 17.547  68   0 0.039 2719  12 0.072
158051 1645.80 4183.27 21.167  3.731 17.436  67   0 0.185 2725   4 0.026
158057 1581.54 4187.27 21.543  4.296 17.246  69   0 0.292 2707  12 0.040
158058 1613.91 4186.83 21.869  4.407 17.462  66   0 0.339 2716   4 0.024
158061 1569.84 4192.66 21.368  4.003 17.364  69   0 0.275 2701   2 0.022
158066 1547.99 4194.61 21.596  3.866 17.729  69   0 0.342 2697   2 0.031
158067 1632.51 4194.33 21.571  3.891 17.680  64   0 0.320 2695   4 0.030
158070 1647.60 4199.76 21.415  4.053 17.362  66   0 0.219 2682   2 0.025
158071 1588.08 4202.23 21.721  4.359 17.362  66   0 0.294 2672   5 0.023
158072 1567.65 4202.99 21.076  3.892 17.183  67   1 0.203 2673   3 0.022
158078 1597.98 4206.49 21.654  4.115 17.539  63   1 0.245 2655   3 0.026
158085 1646.35 4216.40 18.575  1.393 17.182  69   0 0.023 2617   3 0.023
158090 1636.26 4221.11 21.238  4.075 17.163  65   0 0.186 2597   1 0.022
158092 1642.77 4221.91 21.314  3.991 17.323  64   1 0.177 2587   3 0.029
158096 1544.93 4225.67 21.569  3.899 17.670  64   1 0.244 2564   7 0.040
158109 1554.92 4237.58 20.880  3.140 17.740  64   0 0.169 2457   3 0.033
158112 1545.65 4240.32 20.919  3.732 17.187  65   0 0.184 2414   8 0.020
158114 1540.90 4242.50 21.396  4.005 17.391  61   0 0.297 2387   6 0.025
158115 1643.49 4242.40 99.999  9.999 17.305   0   0 9.999 2388   4 0.023
158119 1565.56 4244.40 20.565  2.868 17.697  63   0 0.117 2367   1 0.031
158120 1621.96 4244.92 21.587  4.254 17.333  62   0 0.327 2366   3 0.023
