# OGLE EWS map.dat file for OGLE-2024-GD-0001
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
 33852 1651.26 2578.66 99.999  9.999 16.573   0   0 9.999   90   0 0.019 1494.63 2613.04
 33858 1322.85 2598.44 17.849  1.284 16.565   4   0 0.019   90   0 0.017 1466.86 2633.10
 33859 1427.72 2599.46 18.150  1.955 16.194   4   0 0.027   90   0 0.015 1571.64 2634.28
 33873 1650.30 2631.35 18.611  1.945 16.667   4   0 0.102   90   0 0.021 1794.14 2666.03
 33878 1602.60 2635.00 17.910  1.239 16.671   4   0 0.014   90   0 0.022 1746.56 2669.63
 33886 1343.67 2651.38 18.374  1.453 16.921   4   0 0.009   90   0 0.026 1487.65 2685.95
 33887 1357.89 2651.71 17.971  1.189 16.782   4   0 0.042   90   0 0.023 1501.77 2686.48
 33888 1416.52 2651.79 17.575  1.188 16.387   4   0 0.007   90   0 0.017 1560.53 2686.53
 33889 1348.79 2652.32 18.229  1.358 16.871   4   0 0.032   90   0 0.023 1492.78 2687.11
 33894 1584.95 2661.28 18.198  1.186 17.012   4   0 0.046   90   0 0.027 1728.88 2695.96
 33899 1452.47 2674.45 17.900  1.196 16.704   4   0 0.019   90   0 0.021 1596.39 2709.17
 33903 1459.21 2680.46 18.139  1.809 16.330   4   0 0.019   90   0 0.017 1603.08 2715.12
 33909 1551.79 2698.48 17.635  1.281 16.354   4   0 0.017   90   0 0.025 1695.73 2733.17
 33913 1459.23 2701.72 18.460  1.827 16.633   4   0 0.046   90   0 0.024 1603.13 2736.37
 33915 1305.57 2703.44 17.395  1.131 16.264   4   0 0.012   90   0 0.016 1449.65 2738.15
 33916 1688.18 2703.28 18.498  2.019 16.479   4   0 0.037   90   0 0.019 1832.06 2737.93
 33918 1273.33 2702.25 18.868  2.891 15.977   4   0 0.425   90   0 0.210 1417.71 2736.74
 33921 1522.68 2712.75 18.884  1.972 16.912   4   0 0.063   89   1 0.028 1666.55 2747.40
 33926 1668.43 2717.44 18.843  2.151 16.692   4   0 0.107   90   0 0.020 1812.48 2752.07
 33927 1476.24 2723.16 18.388  1.330 17.058   4   0 0.056   90   0 0.029 1620.27 2757.81
 33928 1384.20 2737.82 17.795  1.177 16.618   4   0 0.015   90   0 0.023 1528.27 2772.52
 33937 1298.00 2751.35 18.006  1.183 16.823   4   0 0.080   90   0 0.023 1442.02 2786.07
 33940 1321.77 2758.98 17.956  1.193 16.763   4   0 0.033   90   0 0.023 1465.90 2793.66
 33944 1624.66 2767.01 18.238  1.387 16.851   4   0 0.041   90   0 0.024 1768.53 2801.58
 33956 1675.13 2794.54 18.641  1.655 16.985   4   0 0.116   88   2 0.022 1819.09 2829.18
 33958 1603.92 2806.86 17.649  1.103 16.546   4   0 0.020   89   1 0.018 1747.90 2841.47
 33959 1388.08 2806.90 18.318  1.295 17.023   4   0 0.066   90   0 0.029 1532.09 2841.77
 33969 1580.29 2820.74 17.881  1.203 16.678   4   0 0.025   90   0 0.018 1724.29 2855.40
 33976 1657.35 2844.49 18.134  1.266 16.868   4   0 0.029   90   0 0.027 1801.29 2879.10
 33984 1526.38 2875.95 18.561  1.547 17.013   4   0 0.011   90   0 0.026 1670.44 2910.57
 33992 1334.25 2889.26 17.302  1.036 16.266   4   0 0.027   90   0 0.015 1478.31 2923.92
 33994 1502.94 2894.44 18.222  1.890 16.331   4   0 0.048   89   1 0.017 1646.87 2928.96
 33998 1336.06 2898.19 18.024  1.169 16.854   4   0 0.015   90   0 0.023 1480.11 2932.75
 34002 1455.84 2901.98 19.061  2.042 17.018   4   0 0.191   90   0 0.026 1599.92 2936.73
 34005 1629.33 2908.27 18.427  2.011 16.415   4   0 0.036   90   0 0.019 1773.32 2942.82
 34006 1342.68 2909.31 17.596  1.195 16.401   4   0 0.036   90   0 0.017 1486.65 2943.98
 34854 1515.23 2457.33 19.607  1.861 17.746   3   0 0.129   90   0 0.056 1659.80 2491.91
 34857 1252.99 2464.39 19.454  1.552 17.902   4   0 0.148   90   0 0.055 1396.93 2499.19
 34858 1498.22 2464.07 19.674  1.815 17.859   4   0 0.070   90   0 0.048 1642.07 2498.80
 34880 1329.40 2489.48 99.999  9.999 17.606   0   0 9.999   77   0 0.550 1135.56 2520.25
 34883 1635.00 2494.23 19.571  1.674 17.897   4   0 0.164   90   0 0.048 1778.86 2529.10
 34901 1448.69 2509.82 19.014  1.555 17.458   4   0 0.050   90   0 0.032 1592.60 2544.41
 34905 1402.91 2515.23 18.282  1.223 17.059   4   0 0.054   90   0 0.029 1546.71 2550.06
 34906 1421.35 2514.28 19.155  1.574 17.581   4   0 0.046   89   1 0.053 1565.35 2549.34
 34917 1405.61 2527.82 18.996  1.420 17.576   4   0 0.093   88   2 0.034 1549.57 2562.62
 34921 1287.12 2529.58 19.517  1.621 17.896   4   0 0.108   90   0 0.050 1431.14 2564.46
 34925 1328.19 2532.05 19.135  1.398 17.737   4   0 0.038   90   0 0.047 1472.08 2567.03
 34926 1549.67 2532.09 19.849  1.876 17.973   4   0 0.280   90   0 0.059 1693.85 2566.63
 34927 1583.95 2533.13 19.145  1.810 17.335   4   0 0.048   89   1 0.036 1728.00 2567.83
 34928 1311.94 2537.99 19.022  1.319 17.703   4   0 0.027   90   0 0.047 1455.85 2572.69
 34941 1572.87 2553.40 18.940  1.373 17.567   4   0 0.027   90   0 0.042 1716.73 2588.00
 34949 1318.64 2563.80 99.999  9.999 18.341   0   0 9.999   89   0 0.239  189.95 2604.19
 34950 1321.26 2569.21 99.999  9.999 17.102   0   0 9.999   87   0 0.263  189.95 2604.19
 34951 1264.76 2571.41 18.544  1.236 17.308   4   0 0.068   90   0 0.029 1408.77 2606.17
 34955 1260.00 2573.91 19.971  2.017 17.954   4   0 0.210   90   0 0.054 1403.28 2609.01
 34956 1331.05 2577.44 99.999  9.999 18.014   0   0 9.999   88   0 0.237 1403.28 2609.01
 34957 1315.31 2579.53 18.847  0.945 17.903   4   0 0.291   89   0 0.316 1458.43 2613.91
 34958 1322.96 2580.44 99.999  9.999 17.941   0   0 9.999   85   0 0.230 1458.43 2613.91
 34962 1640.40 2583.96 18.749  1.424 17.324   4   0 0.030   90   0 0.030 1784.14 2618.62
 34966 1572.75 2590.28 18.227  0.585 17.641   4   0 0.190   88   1 0.168 1715.94 2626.08
 34978 1508.08 2602.72 19.717  1.781 17.936   4   0 0.101   90   0 0.061 1652.10 2637.40
 34991 1594.51 2623.74 19.204  1.633 17.571   4   0 0.099   89   1 0.039 1738.35 2658.36
 34994 1335.76 2625.34 18.965  1.343 17.622   4   0 0.076   90   0 0.037 1479.64 2659.78
 34995 1666.03 2625.90 20.054  2.533 17.521   3   0 0.243   88   2 0.140 1810.55 2660.45
 35006 1515.39 2640.00 19.268  2.174 17.094   4   0 0.117   90   0 0.027 1659.62 2674.78
 35011 1285.50 2645.60 19.069  1.377 17.693   4   0 0.124   89   1 0.044 1429.56 2680.37
 35021 1688.53 2661.72 19.033  1.423 17.610   4   0 0.080   90   0 0.040 1832.45 2696.44
 35023 1434.79 2663.87 20.075  2.132 17.943   4   0 0.180   90   0 0.059 1578.56 2698.93
 35034 1681.49 2679.40 19.487  1.830 17.656   4   0 0.059   90   0 0.044 1825.09 2713.96
 35038 1338.68 2681.99 19.398  2.259 17.139   4   0 0.045   89   1 0.024 1482.43 2716.67
 35039 1487.83 2681.06 19.516  1.711 17.804   4   0 0.124   90   0 0.047 1631.63 2715.92
 35043 1444.84 2684.05 19.445  1.652 17.793   4   0 0.074   90   0 0.052 1588.80 2718.47
 35047 1434.48 2693.58 19.181  1.925 17.256   4   0 0.072   90   0 0.032 1578.41 2728.40
 35051 1272.15 2694.14 99.999  9.999 17.205   0   0 9.999   86   0 0.363  257.77 2727.71
