# OGLE EWS map.dat file for OGLE-2024-BLG-0475
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
  7302  413.16 1384.61 21.019  2.893 18.127  22   0 0.104  396   3 0.036
  7303  213.06 1393.00 21.014  2.432 18.582  23   0 0.172  392   1 0.057
  7305  499.21 1398.35 20.989  2.825 18.163  22   0 0.153  400   0 0.038
  7306  326.02 1402.04 21.030  2.758 18.272  23   0 0.178  398   2 0.039
  7307  410.45 1404.91 21.532  2.571 18.960  21   0 0.171  396   3 0.083
  7308  397.44 1408.20 20.436  2.265 18.171  22   0 0.072  395   4 0.040
  7309  168.44 1408.63 21.141  2.546 18.595  22   0 0.088  372   0 0.058
  7310  281.87 1410.43 21.232  2.758 18.474  22   0 0.150  397   1 0.045
  7312  146.72 1413.59 20.811  2.433 18.378  21   0 0.116  351   0 0.048
  7314  208.05 1418.18 21.211  2.687 18.525  22   0 0.146  392   1 0.053
  7315  442.13 1418.20 21.483  2.837 18.646  23   0 0.193  398   1 0.059
  7316  374.12 1420.23 99.999  9.999 18.954   0   0 9.999  397   0 0.079
  7317  491.15 1420.54 21.092  2.809 18.283  22   0 0.133  398   0 0.039
  7318  291.75 1421.21 20.963  2.263 18.700  21   1 0.085  399   0 0.057
  7319  230.36 1423.65 21.096  2.375 18.720  23   0 0.169  395   1 0.065
  7320  539.85 1427.55 21.162  2.796 18.366  21   1 0.121  399   1 0.044
  7321  251.77 1429.04 21.046  2.845 18.202  22   0 0.142  398   0 0.038
  7323  346.43 1430.83 20.830  2.738 18.092  22   0 0.133  397   2 0.033
  7324  496.19 1431.54 21.330  2.913 18.417  22   0 0.149  398   0 0.047
  7325  187.64 1433.20 21.819  2.950 18.869  22   0 0.197  380   1 0.070
  7326  397.61 1436.61 21.093  2.676 18.417  22   0 0.107  398   1 0.049
  7328  258.74 1441.50 21.522  2.626 18.896  22   0 0.188  394   1 0.070
  7329  345.68 1441.89 20.904  2.503 18.401  22   0 0.099  396   1 0.041
  7331  482.00 1447.36 20.653  2.554 18.099  22   0 0.094  398   2 0.034
  7332  422.91 1453.53 20.746  2.325 18.421  22   0 0.112  397   3 0.050
  7333  497.84 1454.30 20.633  2.418 18.215  22   0 0.104  399   1 0.051
  7334  133.99 1454.19 21.527  2.793 18.735  19   0 0.195  333   0 0.065
  7335  363.40 1454.46 20.849  2.394 18.455  22   0 0.089  398   2 0.048
  7336  213.54 1456.06 20.132  2.178 17.954  22   0 0.091  394   2 0.049
  7337  153.07 1455.99 21.302  2.686 18.616  22   0 0.179  359   2 0.072
  7338  290.74 1457.82 21.101  2.621 18.479  22   0 0.145  396   2 0.049
  7339  188.80 1458.53 21.363  2.729 18.634  19   1 0.130  381   1 0.065
  7340  468.74 1459.47 21.202  2.597 18.605  22   0 0.182  399   0 0.058
  7341  130.42 1459.96 21.537  2.747 18.790  19   0 0.203  326   0 0.069
  7342  366.93 1461.62 21.141  2.715 18.426  21   0 0.146  398   3 0.046
  7343  407.98 1463.48 21.111  2.632 18.480  22   0 0.135  393   6 0.048
  7344  345.56 1465.14 21.077  2.588 18.489  22   0 0.079  396   1 0.046
  7345  514.52 1464.22 21.325  2.505 18.819  22   0 0.189  399   0 0.068
  7346  173.85 1466.22 21.315  2.582 18.734  21   1 0.136  375   0 0.069
  7347  471.50 1467.29 20.596  2.372 18.224  22   0 0.062  398   2 0.040
  7348  331.45 1468.81 21.224  2.482 18.742  23   0 0.158  395   3 0.061
  7349  544.92 1469.81 20.606  2.332 18.274  21   0 0.100  399   0 0.040
  7350  262.95 1472.74 21.634  2.922 18.711  22   0 0.205  399   0 0.067
  7351  509.64 1475.73 21.318  2.757 18.561  22   0 0.217  398   1 0.053
  7353  544.36 1482.78 20.120  2.236 17.884  22   0 0.058  399   1 0.031
  7354  442.68 1482.01 21.028  2.339 18.689  21   0 0.103  399   1 0.057
  7356  317.15 1484.41 20.891  2.778 18.113  22   0 0.106  398   1 0.035
  7357  284.10 1488.43 20.793  2.674 18.119  22   0 0.102  397   1 0.034
  7358  470.03 1488.96 21.626  2.803 18.823  22   0 0.182  397   0 0.069
  7360  259.33 1491.88 21.352  2.511 18.842  20   1 0.144  397   0 0.064
  7361  145.91 1493.73 20.960  2.539 18.420  21   0 0.127  348   1 0.062
  7362  196.56 1494.71 99.999  9.999 18.127   0   0 9.999  390   1 0.082
  7363  449.17 1497.11 21.605  2.654 18.951  22   0 0.163  398   0 0.063
  7364  154.16 1498.34 21.310  2.626 18.683  21   0 0.163  361   0 0.067
  7365  182.59 1498.23 21.500  2.792 18.709  21   0 0.187  379   0 0.063
  7366  359.26 1498.70 20.476  2.167 18.308  22   0 0.073  396   4 0.040
  7367  417.51 1500.12 20.817  2.271 18.546  22   0 0.106  395   4 0.051
  7368  210.35 1500.79 20.915  2.473 18.441  22   0 0.099  392   0 0.055
  7369  407.31 1504.61 20.540  2.232 18.308  22   0 0.132  394   6 0.043
  7371  240.34 1506.14 20.070  2.050 18.020  22   0 0.054  396   1 0.033
  7372  368.00 1505.51 21.189  2.491 18.698  21   1 0.173  396   3 0.061
  7373  423.01 1505.38 21.109  2.159 18.951  21   0 0.137  398   2 0.078
  7374  281.71 1506.17 21.080  2.549 18.531  22   0 0.078  396   1 0.052
  7375  271.72 1509.77 20.445  2.220 18.225  22   0 0.090  399   0 0.042
  7376  298.90 1507.72 21.703  2.877 18.827  20   0 0.250  394   2 0.068
  7377  493.52 1508.49 21.393  2.622 18.771  22   0 0.221  400   0 0.081
  7378  430.50 1510.46 21.092  2.565 18.526  21   0 0.147  398   2 0.045
  7379  519.29 1514.39 21.223  2.878 18.345  22   0 0.162  399   1 0.045
  7460  144.90 1168.57 99.999  9.999 19.225   0   0 9.999  348   0 0.098
  7464  146.38 1180.24 99.999  9.999 19.465   0   0 9.999  346   0 0.121
  7467  374.33 1132.31 20.607  1.784 18.823  22   0 0.106  399   0 0.085
  7468  312.37 1144.48 21.226  2.586 18.640  22   0 0.194  399   0 0.101
  7469  316.89 1174.09 21.507  2.415 19.093  22   0 0.239  396   1 0.079
  7470  322.01 1177.30 99.999  9.999 19.520   0   0 9.999  398   0 0.118
  7473  498.04 1206.58 99.999  9.999 19.450   0   0 9.999  398   1 0.117
  7475  535.85 1268.55 99.999  9.999 18.269   0   0 9.999  399   1 0.044
  7476  159.02 1269.27 99.999  9.999 19.614   0   0 9.999  365   2 0.148
  7477  133.55 1277.90 99.999  9.999 20.087   0   0 9.999  329   1 0.224
  7478  451.90 1277.27 20.923  1.822 19.101  22   0 0.134  399   0 0.083
  7479  442.15 1314.55 21.478  2.274 19.205  21   0 0.237  396   3 0.099
  7480  477.15 1322.28 99.999  9.999 19.188   0   0 9.999  337   0 0.535
  7481  326.92 1343.38 21.304  2.405 18.899  22   0 0.187  396   5 0.067
  7482  502.72 1369.62 99.999  9.999 20.273   0   0 9.999  394   0 0.255
  7483  326.35 1405.13 21.260  1.970 19.289  23   0 0.194  396   1 0.097
  7485  475.15 1465.26 21.487  2.468 19.020  23   0 0.216  399   0 0.077
  7486  150.48 1497.43 99.999  9.999 20.017   0   0 9.999  341   0 0.227
  7497  393.92 1126.08 22.081  2.308 19.772  21   0 0.287  393   1 0.167
  7498  318.19 1126.01 21.598  2.701 18.897  21   0 0.163  399   1 0.071
  7499  330.54 1126.65 21.634  2.452 19.183  22   0 0.209  396   0 0.085
  7500  437.59 1126.17 99.999  9.999 19.887   0   0 9.999  393   0 0.153
  7501  388.17 1128.13 21.678  2.464 19.214  20   0 0.216  396   1 0.112
  7503  465.73 1127.83 21.845  1.804 20.041  22   0 0.259  392   0 0.227
  7504  531.95 1129.22 99.999  9.999 19.458   0   0 9.999  397   0 0.128
  7505  189.84 1129.47 21.749  2.348 19.402  22   0 0.250  378   0 0.107
  7507  340.78 1130.77 21.770  2.641 19.129  21   0 0.292  398   0 0.090
  7509  193.64 1131.58 99.999  9.999 19.410   0   0 9.999  390   0 0.136
  7510  297.49 1132.36 99.999  9.999 19.886   0   0 9.999  393   0 0.166
  7511  424.96 1132.65 22.171  2.257 19.914  21   0 0.408  394   0 0.175
  7512  495.89 1131.66 99.999  9.999 19.696   0   0 9.999  395   1 0.155
  7513  170.39 1134.47 21.361  2.060 19.301  21   0 0.142  372   0 0.107
  7514  261.96 1134.27 21.743  2.276 19.467  22   0 0.348  392   3 0.134
  7515  335.22 1135.43 21.423  2.279 19.145  21   0 0.182  395   1 0.082
  7516  388.07 1133.50 99.999  9.999 19.469   0   0 9.999  391   0 0.276
  7517  476.44 1136.66 21.281  1.875 19.406  23   0 0.162  393   3 0.127
  7518  479.53 1132.98 21.986  2.544 19.441  23   0 0.245  394   2 0.136
  7519  402.58 1136.10 99.999  9.999 19.554   0   0 9.999  396   0 0.134
  7520  437.23 1135.67 21.430  2.435 18.994  22   0 0.195  396   3 0.067
  7522  139.17 1136.82 21.954  2.827 19.127  19   0 0.286  341   0 0.080
  7525  145.45 1139.78 21.586  2.742 18.844  19   0 0.162  348   1 0.063
  7526  505.52 1140.50 21.597  2.193 19.404  23   0 0.262  398   1 0.122
  7527  322.64 1139.98 99.999  9.999 19.397   0   0 9.999  395   1 0.110
  7528  475.17 1138.41 21.281  2.103 19.179  23   0 0.162  397   1 0.095
  7529  239.39 1141.49 22.342  3.202 19.140  21   0 0.440  393   2 0.079
  7530  464.99 1139.99 21.963  2.607 19.356  23   0 0.249  398   1 0.103
  7531  481.01 1144.89 21.344  2.447 18.896  22   0 0.153  398   1 0.067
  7532  377.86 1142.63 99.999  9.999 19.638   0   0 9.999  398   0 0.207
  7533  481.47 1140.08 22.014  2.523 19.491  21   0 0.303  400   0 0.116
  7536  292.80 1142.40 99.999  9.999 19.458   0   0 9.999  397   0 0.105
  7537  356.96 1144.70 21.514  2.143 19.370  21   0 0.146  398   0 0.104
  7538  398.28 1145.14 21.741  2.189 19.552  22   0 0.380  391   2 0.143
  7539  435.74 1144.02 22.043  2.374 19.668  21   0 0.308  394   1 0.127
  7540  363.66 1144.88 21.734  2.190 19.544  21   0 0.287  395   3 0.153
  7541  441.66 1144.89 21.874  2.382 19.492  23   0 0.239  396   0 0.110
  7542  537.99 1145.24 21.660  2.630 19.030  22   0 0.297  398   1 0.082
  7543  152.10 1145.25 21.590  2.387 19.203  22   0 0.266  356   0 0.087
  7544  382.44 1145.67 21.868  2.638 19.230  21   0 0.243  397   1 0.166
  7545  505.30 1150.03 21.419  2.395 19.024  23   0 0.218  397   2 0.077
  7546  504.24 1145.03 99.999  9.999 19.838   0   0 9.999  397   0 0.177
  7547  170.16 1146.18 99.999  9.999 19.836   0   0 9.999  370   0 0.158
  7548  549.09 1147.80 22.091  2.759 19.332  18   1 0.206  397   1 0.113
  7549  178.57 1148.08 99.999  9.999 19.471   0   0 9.999  376   1 0.111
  7550  276.93 1147.97 21.998  2.589 19.409  20   1 0.265  395   1 0.114
  7551  396.82 1148.28 99.999  9.999 20.120   0   0 9.999  390   0 0.249
  7552  141.47 1150.07 99.999  9.999 19.231   0   0 9.999  345   0 0.088
  7553  434.92 1149.82 21.344  2.261 19.083  21   0 0.257  398   1 0.076
  7554  520.73 1149.37 99.999  9.999 19.487   0   0 9.999  399   1 0.157
  7555  135.93 1150.21 21.282  2.395 18.887  19   1 0.094  340   2 0.079
  7556  214.44 1150.12 99.999  9.999 20.049   0   0 9.999  387   0 0.187
  7557  234.90 1151.64 99.999  9.999 19.533   0   0 9.999  396   1 0.108
  7558  332.54 1150.15 99.999  9.999 19.411   0   0 9.999  396   2 0.102
  7559  530.13 1151.08 21.787  2.453 19.334  21   0 0.357  398   0 0.117
  7560  175.08 1151.46 99.999  9.999 19.529   0   0 9.999  370   1 0.116
  7561  474.70 1153.89 21.803  1.894 19.908  21   0 0.290  396   0 0.159
  7562  481.86 1152.74 22.009  3.125 18.885  22   0 0.329  398   1 0.073
  7563  346.32 1151.42 99.999  9.999 19.727   0   0 9.999  391   2 0.135
  7564  271.32 1153.42 99.999  9.999 19.428   0   0 9.999  395   1 0.120
  7565  206.71 1155.45 22.176  2.663 19.513  21   0 0.312  388   3 0.118
  7567  417.54 1156.19 99.999  9.999 19.539   0   0 9.999  394   1 0.120
  7568  182.97 1156.27 99.999  9.999 19.804   0   0 9.999  379   0 0.157
  7569  329.39 1156.73 99.999  9.999 19.514   0   0 9.999  392   3 0.121
  7570  149.49 1159.88 21.555  2.480 19.075  21   0 0.135  352   0 0.083
  7571  389.12 1158.51 99.999  9.999 19.587   0   0 9.999  395   1 0.135
  7572  483.06 1158.13 21.878  2.245 19.633  20   0 0.164  399   0 0.133
  7573  193.99 1159.99 99.999  9.999 19.366   0   0 9.999  388   0 0.113
  7574  346.44 1159.41 22.079  2.301 19.778  20   0 0.196  398   0 0.161
  7575  543.07 1160.07 99.999  9.999 19.265   0   0 9.999  396   0 0.097
  7576  415.64 1160.00 99.999  9.999 19.795   0   0 9.999  396   2 0.149
  7577  494.05 1161.13 99.999  9.999 19.318   0   0 9.999  401   0 0.097
  7578  477.18 1161.27 22.074  2.622 19.452  19   0 0.265  393   1 0.102
  7579  521.93 1158.08 99.999  9.999 19.797   0   0 9.999  394   1 0.188
  7580  159.50 1163.58 21.485  2.551 18.934  22   0 0.180  367   0 0.068
  7581  153.27 1163.69 99.999  9.999 19.342   0   0 9.999  356   0 0.094
  7583  328.04 1164.66 99.999  9.999 19.356   0   0 9.999  391   3 0.096
  7584  456.32 1165.02 21.700  2.591 19.109  22   0 0.250  397   1 0.082
  7585  274.48 1167.46 21.887  2.916 18.971  20   0 0.262  400   0 0.086
  7586  220.15 1167.06 99.999  9.999 19.121   0   0 9.999  387   1 0.163
  7587  243.12 1165.78 99.999  9.999 19.923   0   0 9.999  392   2 0.176
  7588  349.03 1167.17 22.124  2.746 19.379  18   0 0.299  394   3 0.113
  7589  439.80 1166.02 99.999  9.999 19.537   0   0 9.999  395   0 0.105
  7590  171.56 1167.41 99.999  9.999 19.763   0   0 9.999  371   0 0.154
  7591  472.41 1167.87 99.999  9.999 19.507   0   0 9.999  394   1 0.104
  7592  521.31 1167.74 99.999  9.999 19.375   0   0 9.999  398   0 0.154
  7593  529.58 1166.91 99.999  9.999 20.198   0   0 9.999  394   0 0.274
  7594  419.49 1172.98 22.070  2.482 19.588  21   0 0.294  397   0 0.123
  7596  264.60 1173.14 99.999  9.999 19.885   0   0 9.999  379   0 0.457
  7597  286.77 1173.86 21.348  2.321 19.027  21   0 0.185  394   2 0.079
  7598  547.03 1171.96 99.999  9.999 19.633   0   0 9.999  395   2 0.140
  7599  390.71 1175.46 21.519  2.548 18.971  22   0 0.217  394   3 0.082
  7600  291.65 1175.77 99.999  9.999 19.508   0   0 9.999  394   2 0.118
  7601  439.46 1175.03 99.999  9.999 19.628   0   0 9.999  396   0 0.124
  7602  430.69 1178.42 21.507  2.174 19.333  21   0 0.290  397   1 0.097
  7604  368.88 1177.75 99.999  9.999 20.074   0   0 9.999  395   0 0.237
  7605  404.56 1178.23 21.821  2.204 19.617  21   0 0.267  395   0 0.143
  7606  335.97 1180.03 21.992  2.750 19.243  22   0 0.454  399   1 0.096
  7608  158.55 1182.03 21.534  2.365 19.170  22   0 0.238  367   0 0.092
  7609  379.68 1180.73 99.999  9.999 19.189   0   0 9.999  395   3 0.097
  7610  300.55 1182.22 22.082  2.903 19.179  20   0 0.337  398   1 0.102
  7611  428.40 1182.03 99.999  9.999 19.558   0   0 9.999  398   1 0.118
  7613  211.43 1184.79 21.683  2.774 18.909  22   0 0.212  392   1 0.072
  7615  175.13 1184.93 99.999  9.999 19.265   0   0 9.999  374   1 0.097
  7616  262.97 1184.96 99.999  9.999 19.101   0   0 9.999  393   1 0.254
  7617  250.16 1185.76 21.920  2.912 19.008  22   0 0.283  397   2 0.089
  7618  324.11 1187.59 99.999  9.999 19.504   0   0 9.999  394   1 0.117
  7620  434.88 1189.91 21.351  1.935 19.415  21   1 0.149  393   3 0.107
  7621  166.79 1191.34 21.820  2.491 19.329  22   0 0.322  370   0 0.108
  7622  478.20 1191.31 22.189  2.513 19.676  20   0 0.328  398   1 0.146
  7623  511.66 1189.98 99.999  9.999 19.899   0   0 9.999  397   0 0.163
  7624  458.29 1191.55 21.909  2.464 19.445  20   0 0.260  396   1 0.113
  7625  159.56 1191.40 99.999  9.999 19.804   0   0 9.999  365   0 0.172
  7626  376.01 1191.29 21.937  2.534 19.404  19   0 0.263  402   0 0.146
  7628  134.39 1195.44 21.704  2.408 19.296  18   0 0.190  333   1 0.100
  7629  343.02 1196.18 99.999  9.999 19.270   0   0 9.999  398   1 0.102
  7630  484.44 1195.14 99.999  9.999 19.511   0   0 9.999  398   1 0.114
  7632  370.84 1197.34 99.999  9.999 19.332   0   0 9.999  398   2 0.146
  7633  262.55 1198.31 99.999  9.999 19.566   0   0 9.999  395   0 0.125
  7634  352.70 1197.64 99.999  9.999 19.850   0   0 9.999  395   1 0.176
  7636  251.90 1199.27 99.999  9.999 19.682   0   0 9.999  393   1 0.137
  7637  362.28 1199.79 21.933  2.635 19.298  23   0 0.297  399   1 0.107
  7638  446.08 1200.66 22.093  2.198 19.895  21   0 0.267  397   2 0.173
  7639  203.02 1200.37 21.452  1.763 19.689  22   0 0.259  386   1 0.151
  7640  485.53 1200.86 21.954  2.639 19.315  21   0 0.250  400   0 0.096
  7642  155.51 1202.57 99.999  9.999 19.751   0   0 9.999  363   0 0.160
  7643  524.21 1206.90 21.835  2.614 19.221  22   0 0.328  400   1 0.095
  7644  532.73 1207.17 21.788  2.063 19.724  21   1 0.258  395   1 0.139
  7645  203.88 1205.01 99.999  9.999 19.592   0   0 9.999  374   0 0.216
  7646  386.47 1206.32 99.999  9.999 19.453   0   0 9.999  275   0 0.542
  7647  425.03 1207.09 21.348  2.133 19.215  22   0 0.145  396   1 0.102
  7648  540.21 1206.31 99.999  9.999 19.311   0   0 9.999  397   1 0.105
  7649  152.44 1207.37 22.306  2.712 19.594  21   0 0.295  355   1 0.123
  7650  315.99 1207.75 99.999  9.999 19.536   0   0 9.999  395   1 0.111
  7651  374.81 1207.84 21.590  2.260 19.330  22   0 0.285  386   2 0.177
  7653  218.07 1210.28 99.999  9.999 19.333   0   0 9.999  390   1 0.103
  7654  526.53 1210.90 21.282  1.552 19.730  22   0 0.159  396   2 0.148
  7655  241.45 1212.60 21.881  2.530 19.351  19   1 0.165  392   1 0.098
  7656  548.99 1213.64 21.558  2.746 18.811  23   0 0.267  400   0 0.069
  7657  432.28 1214.77 21.863  2.813 19.050  23   0 0.262  398   1 0.082
  7658  444.51 1214.31 21.795  2.471 19.324  22   0 0.240  394   2 0.097
  7661  220.31 1216.96 99.999  9.999 19.333   0   0 9.999  391   1 0.109
  7662  465.52 1216.23 99.999  9.999 19.651   0   0 9.999  395   1 0.138
  7663  375.69 1218.82 99.999  9.999 19.672   0   0 9.999  387   0 0.246
  7664  440.17 1217.59 99.999  9.999 19.540   0   0 9.999  396   0 0.114
  7665  133.51 1221.32 21.542  2.680 18.862  18   0 0.150  332   1 0.078
  7666  420.62 1221.04 21.673  2.444 19.229  22   0 0.233  394   5 0.092
  7667  254.30 1221.56 22.165  2.838 19.327  20   0 0.258  391   3 0.105
  7668  541.00 1220.66 21.980  2.547 19.433  22   0 0.301  399   0 0.113
  7669  161.75 1223.70 21.390  2.504 18.887  22   0 0.199  367   0 0.075
  7670  327.39 1223.58 21.777  2.539 19.238  22   0 0.171  394   3 0.090
  7671  186.65 1224.08 21.826  2.598 19.228  22   0 0.234  378   0 0.093
  7673  514.82 1225.31 21.122  2.032 19.089  22   0 0.148  398   0 0.076
  7674  237.76 1226.77 22.123  2.643 19.480  21   0 0.284  394   1 0.109
  7675  405.20 1226.28 99.999  9.999 19.347   0   0 9.999  397   0 0.121
  7676  520.01 1226.13 99.999  9.999 19.622   0   0 9.999  396   1 0.134
  7678  445.14 1227.94 99.999  9.999 19.406   0   0 9.999  399   1 0.114
  7679  450.47 1227.83 21.810  2.485 19.325  21   0 0.236  399   0 0.104
  7680  250.36 1228.05 99.999  9.999 19.702   0   0 9.999  394   1 0.132
  7682  137.50 1233.52 21.513  2.487 19.026  19   0 0.229  338   0 0.150
  7683  211.54 1231.03 99.999  9.999 19.519   0   0 9.999  392   0 0.121
  7684  485.86 1231.91 99.999  9.999 19.195   0   0 9.999  396   2 0.105
  7686  151.67 1231.82 99.999  9.999 19.751   0   0 9.999  352   1 0.180
  7687  221.52 1232.27 99.999  9.999 19.759   0   0 9.999  395   0 0.143
  7688  453.48 1233.63 21.460  2.368 19.092  22   0 0.197  398   1 0.081
  7689  473.22 1235.38 21.321  1.983 19.338  23   0 0.214  394   2 0.110
  7690  173.94 1234.95 22.143  2.415 19.728  19   0 0.306  373   1 0.157
  7691  262.15 1233.28 99.999  9.999 19.609   0   0 9.999  394   1 0.132
  7692  440.31 1233.61 21.030  2.117 18.913  22   0 0.116  396   1 0.068
  7693  515.71 1234.40 21.745  2.372 19.374  21   0 0.214  396   1 0.099
  7695  133.06 1236.01 21.978  2.343 19.635  19   1 0.200  323   0 0.267
  7696  145.35 1234.18 99.999  9.999 20.083   0   0 9.999  341   0 0.302
  7697  325.84 1235.71 21.911  2.428 19.484  21   0 0.284  395   1 0.115
  7698  209.23 1237.93 22.448  2.547 19.901  22   0 0.309  389   0 0.170
  7699  286.55 1238.06 99.999  9.999 19.670   0   0 9.999  398   1 0.134
  7701  140.78 1240.69 99.999  9.999 18.714   0   0 9.999  341   4 0.171
  7702  407.39 1239.66 99.999  9.999 19.928   0   0 9.999  394   1 0.186
  7703  456.73 1238.95 99.999  9.999 19.832   0   0 9.999  391   1 0.141
  7704  234.48 1240.46 22.042  2.048 19.994  22   0 0.294  389   1 0.219
  7705  136.34 1242.46 99.999  9.999 18.108   0   0 9.999  342   1 0.233
  7706  368.37 1242.13 21.720  2.267 19.453  23   0 0.216  396   1 0.110
  7707  536.68 1243.29 22.006  2.496 19.510  19   0 0.280  398   1 0.118
  7708  415.61 1246.05 21.630  2.480 19.150  22   0 0.228  397   3 0.087
  7709  509.14 1242.34 99.999  9.999 19.411   0   0 9.999  398   0 0.105
  7710  521.57 1243.27 21.560  2.491 19.069  22   0 0.180  400   0 0.085
  7711  183.10 1244.96 21.846  2.489 19.357  22   0 0.325  378   0 0.113
  7712  206.57 1242.46 99.999  9.999 19.682   0   0 9.999  391   0 0.133
  7713  258.03 1245.95 20.689  2.001 18.688  22   0 0.074  396   1 0.067
  7714  252.58 1249.03 99.999  9.999 19.319   0   0 9.999  394   0 0.111
  7715  427.67 1248.46 21.666  2.528 19.138  22   0 0.294  396   2 0.081
  7716  217.31 1249.44 21.922  2.585 19.337  21   0 0.234  391   1 0.109
  7717  308.61 1250.96 99.999  9.999 19.689   0   0 9.999  395   0 0.129
  7718  354.52 1251.27 21.731  2.437 19.295  22   0 0.227  395   2 0.088
  7719  364.14 1252.21 21.511  2.363 19.148  22   0 0.187  397   1 0.094
  7720  408.12 1252.56 21.517  2.284 19.232  22   0 0.189  393   3 0.101
  7721  479.15 1253.05 21.291  2.394 18.896  22   0 0.221  396   1 0.067
  7722  474.20 1250.82 21.908  2.416 19.492  22   0 0.299  397   1 0.110
  7724  546.44 1255.40 21.485  2.459 19.025  23   0 0.249  397   0 0.082
  7726  454.86 1254.29 99.999  9.999 19.780   0   0 9.999  396   0 0.132
  7727  502.84 1256.42 21.154  2.292 18.862  22   0 0.152  399   0 0.071
  7728  150.35 1254.93 99.999  9.999 19.770   0   0 9.999  344   0 0.441
  7729  215.59 1257.12 21.517  2.414 19.103  22   0 0.265  392   1 0.087
  7730  324.01 1260.09 21.522  2.447 19.075  21   0 0.174  395   2 0.085
  7732  234.07 1259.96 99.999  9.999 19.805   0   0 9.999  394   1 0.246
  7733  330.32 1259.18 99.999  9.999 19.902   0   0 9.999  399   0 0.216
  7734  379.19 1259.52 22.149  2.841 19.308  21   0 0.284  394   1 0.097
  7735  350.47 1261.77 22.176  2.715 19.461  19   0 0.441  394   1 0.122
  7736  426.08 1261.65 21.612  2.558 19.054  21   0 0.213  397   2 0.080
  7738  140.94 1261.48 99.999  9.999 19.971   0   0 9.999  328   0 0.422
  7739  498.27 1262.89 99.999  9.999 19.471   0   0 9.999  399   0 0.117
  7740  246.94 1263.81 99.999  9.999 19.628   0   0 9.999  396   0 0.142
  7741  376.25 1264.31 99.999  9.999 19.648   0   0 9.999  397   2 0.125
  7743  191.13 1265.54 99.999  9.999 20.080   0   0 9.999  379   0 0.246
  7744  255.97 1265.41 99.999  9.999 19.514   0   0 9.999  396   1 0.120
  7745  477.68 1265.42 21.929  2.790 19.139  21   0 0.255  397   0 0.078
  7746  401.85 1266.27 21.873  2.378 19.495  22   0 0.239  398   1 0.121
  7747  502.33 1266.17 99.999  9.999 19.030   0   0 9.999  399   0 0.099
  7748  173.64 1268.75 99.999  9.999 19.844   0   0 9.999  371   1 0.171
  7749  226.78 1270.51 21.973  2.626 19.347  22   0 0.324  393   1 0.097
  7750  338.20 1269.41 99.999  9.999 19.521   0   0 9.999  399   0 0.124
  7751  203.14 1269.84 22.221  2.613 19.608  22   0 0.268  387   1 0.129
  7752  216.17 1270.12 99.999  9.999 19.625   0   0 9.999  392   0 0.128
  7753  300.24 1270.47 22.043  2.656 19.387  19   1 0.223  397   2 0.101
  7754  305.24 1270.53 99.999  9.999 19.489   0   0 9.999  398   2 0.109
  7755  424.41 1270.60 99.999  9.999 19.809   0   0 9.999  392   1 0.175
  7756  148.41 1271.48 99.999  9.999 19.691   0   0 9.999  350   0 0.158
  7757  481.22 1271.04 99.999  9.999 19.908   0   0 9.999  396   1 0.156
  7758  498.77 1271.55 21.498  2.514 18.984  22   0 0.255  399   0 0.074
  7760  490.38 1272.89 99.999  9.999 19.683   0   0 9.999  394   1 0.131
  7761  459.73 1274.94 21.457  2.058 19.399  21   1 0.179  395   2 0.114
  7762  469.84 1274.18 99.999  9.999 19.729   0   0 9.999  397   0 0.139
  7764  316.54 1276.97 21.497  2.611 18.886  21   0 0.178  398   1 0.070
  7765  404.65 1275.18 21.958  2.653 19.305  22   0 0.263  395   1 0.099
  7766  533.60 1275.19 21.948  2.520 19.428  21   0 0.386  395   1 0.113
  7767  211.42 1277.26 21.782  2.791 18.991  22   0 0.269  393   0 0.083
  7769  197.30 1278.64 21.313  2.523 18.790  22   0 0.175  388   1 0.067
  7770  234.04 1277.94 22.266  2.654 19.612  20   0 0.287  389   2 0.134
  7771  127.03 1278.66 21.654  2.491 19.163  18   0 0.248  305   1 0.084
  7773  514.33 1279.06 99.999  9.999 19.774   0   0 9.999  397   0 0.168
  7774  362.86 1281.42 21.474  2.600 18.874  21   0 0.197  397   1 0.084
  7775  157.97 1282.12 22.083  2.684 19.399  23   0 0.296  364   0 0.107
  7776  497.90 1281.22 22.131  2.572 19.559  22   0 0.329  396   1 0.109
  7778  525.91 1282.99 22.269  2.685 19.583  18   0 0.369  399   0 0.126
  7779  146.38 1284.76 21.652  2.387 19.264  18   0 0.152  348   0 0.097
  7780  199.54 1284.37 21.364  2.154 19.210  22   0 0.169  386   2 0.096
  7781  285.25 1285.34 21.903  2.492 19.410  22   0 0.268  396   1 0.099
  7783  403.22 1287.09 99.999  9.999 19.948   0   0 9.999  392   0 0.181
  7785  204.94 1288.93 99.999  9.999 19.357   0   0 9.999  389   2 0.098
  7786  506.71 1288.68 21.303  2.227 19.076  20   0 0.149  399   0 0.085
  7787  269.55 1290.42 21.782  2.859 18.923  21   0 0.277  394   1 0.069
  7788  338.90 1289.45 21.905  2.251 19.654  21   1 0.267  400   0 0.161
  7789  437.98 1293.34 21.858  2.148 19.710  20   0 0.187  397   1 0.152
