# OGLE EWS map.dat file for OGLE-2024-BLG-0475
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
  3527  254.46 1112.32 99.999  9.999 19.021   0   0 9.999  345   0 0.083
  4403  167.67 1058.60 21.650  2.814 18.836  22   0 0.272  320   1 0.072
  4404  296.27 1058.44 21.366  2.466 18.900  22   0 0.185  345   0 0.081
  4405  455.05 1058.41 21.559  2.346 19.214  21   0 0.227  343   0 0.114
  4406  269.22 1058.88 21.053  2.077 18.975  21   0 0.167  340   0 0.078
  4407  191.79 1060.82 21.436  2.370 19.065  22   0 0.191  333   0 0.089
  4408  204.82 1060.07 21.798  2.243 19.555  20   1 0.177  335   2 0.140
  4409  445.95 1063.30 21.443  2.410 19.033  21   0 0.137  343   1 0.091
  4410  403.14 1063.87 21.838  2.754 19.084  22   0 0.299  342   2 0.085
  4411  269.82 1067.58 20.938  2.018 18.921  22   0 0.090  344   1 0.075
  4412  274.82 1064.87 21.749  2.395 19.354  21   0 0.247  343   0 0.100
  4413  549.54 1066.56 21.272  2.152 19.121  22   0 0.137  343   0 0.106
  4414  296.27 1065.97 22.099  2.705 19.393  20   0 0.302  343   0 0.109
  4415  301.96 1066.02 99.999  9.999 19.496   0   0 9.999  342   0 0.108
  4416  371.84 1066.53 20.787  1.826 18.960  22   0 0.093  342   2 0.082
  4417  192.73 1066.65 21.936  2.205 19.731  22   0 0.344  335   1 0.147
  4418  347.99 1065.76 99.999  9.999 19.871   0   0 9.999  344   0 0.173
  4419  396.80 1070.56 21.667  2.335 19.332  21   0 0.256  343   2 0.099
  4420  428.28 1066.95 99.999  9.999 19.127   0   0 9.999  342   1 0.088
  4421  267.74 1070.95 99.999  9.999 19.902   0   0 9.999  339   1 0.164
  4422  314.25 1071.35 21.641  2.141 19.500  22   0 0.222  343   0 0.127
  4423  411.41 1070.15 22.120  2.522 19.598  20   0 0.369  341   0 0.129
  4424  324.05 1073.65 21.452  2.568 18.884  22   0 0.246  343   2 0.069
  4425  171.89 1074.28 21.893  2.585 19.307  20   0 0.168  321   1 0.104
  4426  517.57 1074.37 21.852  2.610 19.242  21   0 0.221  344   1 0.119
  4428  287.47 1074.66 22.126  2.413 19.713  22   0 0.372  342   0 0.161
  4429  341.94 1075.74 99.999  9.999 19.953   0   0 9.999  344   0 0.172
  4430  544.35 1076.23 21.239  1.912 19.327  22   0 0.156  343   0 0.132
  4431  485.46 1076.55 22.263  3.033 19.230  21   0 0.307  345   0 0.107
  4432  528.62 1077.18 21.168  2.402 18.766  20   1 0.159  344   2 0.071
  4433  361.68 1078.10 22.066  2.886 19.180  20   0 0.287  344   0 0.089
  4434  474.21 1078.49 21.747  2.708 19.038  23   0 0.220  346   0 0.091
  4436  407.14 1079.86 21.765  2.543 19.222  22   0 0.375  344   0 0.098
  4437  182.82 1080.49 99.999  9.999 19.870   0   0 9.999  327   0 0.177
  4438  195.62 1081.46 99.999  9.999 19.439   0   0 9.999  338   0 0.143
  4439  255.24 1082.22 21.523  2.591 18.932  21   0 0.175  341   2 0.069
  4440  351.91 1082.18 21.790  2.746 19.045  21   0 0.388  346   0 0.079
  4441  401.83 1080.87 99.999  9.999 19.714   0   0 9.999  341   1 0.134
  4442  495.60 1082.15 21.752  2.586 19.165  22   0 0.280  343   1 0.108
  4443  504.92 1080.99 21.949  2.289 19.660  20   1 0.256  341   1 0.153
  4445  203.73 1087.11 21.563  2.375 19.188  22   0 0.226  336   1 0.126
  4446  273.41 1085.27 21.612  2.796 18.816  22   0 0.245  342   0 0.064
  4447  180.63 1088.02 21.648  2.632 19.016  21   0 0.206  323   2 0.075
  4449  259.93 1087.08 99.999  9.999 19.367   0   0 9.999  341   0 0.103
  4450  282.19 1087.05 21.472  2.077 19.395  20   0 0.164  344   0 0.109
  4451  353.17 1087.58 99.999  9.999 19.621   0   0 9.999  343   1 0.158
  4452  245.28 1089.63 99.999  9.999 19.257   0   0 9.999  342   1 0.094
  4453  342.22 1090.29 21.569  2.564 19.005  22   0 0.206  347   0 0.153
  4454  378.83 1090.67 99.999  9.999 19.415   0   0 9.999  343   0 0.098
  4456  175.90 1091.79 99.999  9.999 19.512   0   0 9.999  321   1 0.126
  4457  200.88 1092.03 99.999  9.999 19.465   0   0 9.999  322   0 0.274
  4458  145.86 1092.74 99.999  9.999 19.900   0   0 9.999  293   1 0.168
  4459  184.43 1093.48 22.000  2.422 19.579  21   0 0.285  327   1 0.148
  4460  208.10 1088.35 99.999  9.999 19.658   0   0 9.999  335   0 0.196
  4461  308.17 1093.54 99.999  9.999 19.736   0   0 9.999  342   1 0.138
  4462  399.89 1093.69 22.245  2.710 19.535  21   0 0.397  343   1 0.116
  4463  361.79 1094.59 21.787  2.383 19.404  20   0 0.309  343   1 0.110
  4464  193.78 1096.36 21.195  2.119 19.076  20   2 0.091  334   1 0.166
  4465  456.25 1095.67 21.764  2.316 19.448  21   0 0.347  345   0 0.129
  4469  273.92 1097.77 99.999  9.999 19.700   0   0 9.999  343   1 0.150
